time,obstacle_id,x,y,z,radius
16.5,fast_crossing_ball_1,10.0,2.2,-3.0,0.55
16.5,fast_crossing_ball_2,16.0,6.35,-3.0,0.55
16.5,diagonal_crossing_ball,23.6845,-8.0513,-3.0,0.5
16.5,inner_patrol_ball,23.5145,8.9668,-3.0,0.45
16.5,target_patrol_ball,28.5383,21.7147,-3.0,0.45
16.75,fast_crossing_ball_1,10.0,2.5,-3.0,0.55
16.75,fast_crossing_ball_2,16.0,6.025,-3.0,0.55
16.75,diagonal_crossing_ball,23.7493,-7.784,-3.0,0.5
16.75,inner_patrol_ball,23.0659,8.9995,-3.0,0.45
16.75,target_patrol_ball,28.7713,22.0082,-3.0,0.45
17.0,fast_crossing_ball_1,10.0,2.8,-3.0,0.55
17.0,fast_crossing_ball_2,16.0,5.7,-3.0,0.55
17.0,diagonal_crossing_ball,23.8141,-7.5168,-3.0,0.5
17.0,inner_patrol_ball,22.6165,8.9816,-3.0,0.45
17.0,target_patrol_ball,29.0391,22.2704,-3.0,0.45
17.25,fast_crossing_ball_1,10.0,3.1,-3.0,0.55
17.25,fast_crossing_ball_2,16.0,5.375,-3.0,0.55
17.25,diagonal_crossing_ball,23.8789,-7.2495,-3.0,0.5
17.25,inner_patrol_ball,22.172,8.9134,-3.0,0.45
17.25,target_patrol_ball,29.3374,22.4972,-3.0,0.45
17.5,fast_crossing_ball_1,10.0,3.4,-3.0,0.55
17.5,fast_crossing_ball_2,16.0,5.05,-3.0,0.55
17.5,diagonal_crossing_ball,23.9437,-6.9822,-3.0,0.5
17.5,inner_patrol_ball,21.7379,8.7957,-3.0,0.45
17.5,target_patrol_ball,29.6617,22.685,-3.0,0.45
17.75,fast_crossing_ball_1,10.0,3.7,-3.0,0.55
17.75,fast_crossing_ball_2,16.0,4.725,-3.0,0.55
17.75,diagonal_crossing_ball,24.0085,-6.715,-3.0,0.5
17.75,inner_patrol_ball,21.3197,8.63,-3.0,0.45
17.75,target_patrol_ball,30.0069,22.8309,-3.0,0.45
18.0,fast_crossing_ball_1,10.0,4.0,-3.0,0.55
18.0,fast_crossing_ball_2,16.0,4.4,-3.0,0.55
18.0,diagonal_crossing_ball,24.0733,-6.4477,-3.0,0.5
18.0,inner_patrol_ball,20.9228,8.4184,-3.0,0.45
18.0,target_patrol_ball,30.3676,22.9326,-3.0,0.45
18.25,fast_crossing_ball_1,10.0,4.3,-3.0,0.55
18.25,fast_crossing_ball_2,16.0,4.075,-3.0,0.55
18.25,diagonal_crossing_ball,24.1381,-6.1805,-3.0,0.5
18.25,inner_patrol_ball,20.5522,8.1636,-3.0,0.45
18.25,target_patrol_ball,30.7382,22.9886,-3.0,0.45
18.5,fast_crossing_ball_1,10.0,4.6,-3.0,0.55
18.5,fast_crossing_ball_2,16.0,3.75,-3.0,0.55
18.5,diagonal_crossing_ball,24.2029,-5.9132,-3.0,0.5
18.5,inner_patrol_ball,20.2125,7.8688,-3.0,0.45
18.5,target_patrol_ball,31.1128,22.9979,-3.0,0.45
18.75,fast_crossing_ball_1,10.0,4.9,-3.0,0.55
18.75,fast_crossing_ball_2,16.0,3.425,-3.0,0.55
18.75,diagonal_crossing_ball,24.2677,-5.6459,-3.0,0.5
18.75,inner_patrol_ball,19.9081,7.5377,-3.0,0.45
18.75,target_patrol_ball,31.4857,22.9604,-3.0,0.45
19.0,fast_crossing_ball_1,10.0,5.2,-3.0,0.55
19.0,fast_crossing_ball_2,16.0,3.1,-3.0,0.55
19.0,diagonal_crossing_ball,24.3324,-5.3787,-3.0,0.5
19.0,inner_patrol_ball,19.6427,7.1746,-3.0,0.45
19.0,target_patrol_ball,31.851,22.8768,-3.0,0.45
19.25,fast_crossing_ball_1,10.0,5.5,-3.0,0.55
19.25,fast_crossing_ball_2,16.0,2.775,-3.0,0.55
19.25,diagonal_crossing_ball,24.3972,-5.1114,-3.0,0.5
19.25,inner_patrol_ball,19.4198,6.784,-3.0,0.45
19.25,target_patrol_ball,32.203,22.7482,-3.0,0.45
19.5,fast_crossing_ball_1,10.0,5.8,-3.0,0.55
19.5,fast_crossing_ball_2,16.0,2.45,-3.0,0.55
19.5,diagonal_crossing_ball,24.462,-4.8442,-3.0,0.5
19.5,inner_patrol_ball,19.2422,6.3708,-3.0,0.45
19.5,target_patrol_ball,32.5363,22.5768,-3.0,0.45
19.75,fast_crossing_ball_1,10.0,6.1,-3.0,0.55
19.75,fast_crossing_ball_2,16.0,2.125,-3.0,0.55
19.75,diagonal_crossing_ball,24.5268,-4.5769,-3.0,0.5
19.75,inner_patrol_ball,19.1121,5.9402,-3.0,0.45
19.75,target_patrol_ball,32.8455,22.3652,-3.0,0.45
20.0,fast_crossing_ball_1,10.0,6.4,-3.0,0.55
20.0,fast_crossing_ball_2,16.0,1.8,-3.0,0.55
20.0,diagonal_crossing_ball,24.5916,-4.3096,-3.0,0.5
20.0,inner_patrol_ball,19.0311,5.4978,-3.0,0.45
20.0,target_patrol_ball,33.126,22.1166,-3.0,0.45
20.25,fast_crossing_ball_1,10.0,6.7,-3.0,0.55
20.25,fast_crossing_ball_2,16.0,1.475,-3.0,0.55
20.25,diagonal_crossing_ball,24.6564,-4.0424,-3.0,0.5
20.25,inner_patrol_ball,19.0003,5.0491,-3.0,0.45
20.25,target_patrol_ball,33.3733,21.835,-3.0,0.45
20.5,fast_crossing_ball_1,10.0,7.0,-3.0,0.55
20.5,fast_crossing_ball_2,16.0,1.15,-3.0,0.55
20.5,diagonal_crossing_ball,24.7212,-3.7751,-3.0,0.5
20.5,inner_patrol_ball,19.0201,4.5998,-3.0,0.45
20.5,target_patrol_ball,33.5836,21.5248,-3.0,0.45
20.75,fast_crossing_ball_1,10.0,7.3,-3.0,0.55
20.75,fast_crossing_ball_2,16.0,0.825,-3.0,0.55
