time,obstacle_id,x,y,z,radius
72.0,crossing_ball_left,11.0,-6.8,-3.0,0.5
72.0,crossing_ball_right,17.0,10.0,-3.0,0.5
72.0,center_patrol_ball,18.8935,3.7443,-3.0,0.45
72.5,crossing_ball_left,11.0,-6.35,-3.0,0.5
72.5,crossing_ball_right,17.0,9.5,-3.0,0.5
72.5,center_patrol_ball,19.4149,3.3166,-3.0,0.45
73.0,crossing_ball_left,11.0,-5.9,-3.0,0.5
73.0,crossing_ball_right,17.0,9.0,-3.0,0.5
73.0,center_patrol_ball,19.9944,2.9717,-3.0,0.45
73.5,crossing_ball_left,11.0,-5.45,-3.0,0.5
73.5,crossing_ball_right,17.0,8.5,-3.0,0.5
73.5,center_patrol_ball,20.6189,2.7172,-3.0,0.45
74.0,crossing_ball_left,11.0,-5.0,-3.0,0.5
74.0,crossing_ball_right,17.0,8.0,-3.0,0.5
74.0,center_patrol_ball,21.2744,2.5589,-3.0,0.45
74.5,crossing_ball_left,11.0,-4.55,-3.0,0.5
74.5,crossing_ball_right,17.0,7.5,-3.0,0.5
74.5,center_patrol_ball,21.9462,2.5003,-3.0,0.45
